disease_id	name	description
DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	A pseudohypoaldosteronism characterized by enal salt wasting and high concentrations of sodium in sweat, stool, and saliva that has_material_basis_in homozygous or compound heterozygous mutation in any one of 3 genes encoding subunits of the epithelial sodium channel (ENaC): SCNN1A, SCNN1B, or SCNN1G.
DOID:0060855	autosomal dominant pseudohypoaldosteronism type 1	A pseudohypoaldosteronism characterized by Salt wasting resulting from renal unresponsiveness to mineralocorticoids that has_material_basis_in heterozygous mutation in the NR3C2 gene on chromosome 4q31.
DOID:0060856	right atrial isomerism	A visceral heterotaxy characterized by complete atrioventricular septal defect with a common atrium and univentricular AV connection, total anomalous pulmonary drainage, and transposition or malposition of the great arteries and may be associated with bilateral trilobed lungs, midline liver, asplenia and situs inversus affecting other organs that has_material_basis_in homozygous mutation in the GDF1 gene on chromosome 19p12.
DOID:0060857	septooptic dysplasia	An autosomal genetic disease characterized by the classical triad of optic nerve hypoplasia, pituitary gland hypoplasia and midline brain defects that has_material_basis_in mutation in the HESX1 gene on chromosome 3p14.
DOID:0060858	hypotonia-cystinuria syndrome	A syndrome that has_material_basis_in homozygous deletion on chromosome 2p21 that disrupts the SLC3A1 and PREPL genes. The deletion ranges in size from 23.8 to 75.5 kb. Itis characterized_by neonatal and infantile hypotonia and failure to thrive, cystinuria type 1 and nephrolithiasis, growth retardation due to growth hormone deficiency, and minor facial dysmorphism.
DOID:0060859	salmonellosis	A primary bacterial infectious disease caused by the bacteria of the genus Salmonella. It has sypmtoms diarrhea, fever, vomiting, and abdominal cramps 12 to 72 hours after infection. In most cases, the illness lasts four to seven days, and most people recover without treatment.
DOID:0060861	microphthalmia with limb anomalies	A an autosomal recessive disease that is characterized by autosomal recessive inheritance of bilateral or unilateral clinical anophthalmia or microphthalmia and synostosis, syndactyly, oligodactyly and/or polydactyly that has material_basis_in homozygous mutation in the SMOC1 gene on chromosome 14q24.
DOID:0060862	mal de Meleda	A palmoplantar keratosis characterized by autosomal recessive inheritance of symmetric palmoplantar hyperkeratosis that progressively extends to the dorsal surfaces of hands and feet and ichthyotic changes elsewhere that has material_basis_in  homozygous mutation in the SLURP1 gene on chromosome 8q24.
DOID:0060863	patterned macular dystrophy	A macular degeneration characterized by abnormal accumulation of lipofuscin in the retinal pigment epithelium in a distinct pattern, patterns include; reticular ('fishnet-like'), macroreticular ('spider-shaped'), and butterfly-shaped.
DOID:0060864	patterned macular dystrophy 2	A patterned macular dystrophy characterized by bilateral accumulation of pigmented or yellowish material at the level of the retinal pigment epithelium in lesions that resemble the wings of a butterfly that has material_basis_in heterozygous mutation in the CTNNA1 gene on chromosome 5q31.
DOID:0060865	patterned macular dystrophy 3	A patterned macular dystrophy characterized by a 'dry desert land' pattern of the fundus, involving the posterior pole initially and progressing from the temporal fovea to the periphery of the retina developing in the fourth or fifth decade of life that has material_basis_in heterozygous mutation in the MAPKAPK3 gene on chromosome 3p21.
DOID:0060866	patterned macular dystrophy 1	A patterned macular dystrophy characterized by bilateral accumulation of pigmented or yellowish material at the level of the retinal pigment epithelium in lesions that resemble the wings of a butterfly that has material_basis_in heterozygous mutation in the PRPH2 gene on chromosome 6p21.
DOID:0060867	macrocephaly-autism syndrome	An autosomal dominant disease characterized by macrocephaly, facial phenotypes including square outline with frontal bossing, 'dished-out' midface, biparietal narrowing, and long philtrum, developmental delay and autism that has material_basis_in heterozygous mutation in the PTEN gene on chromosome 10q23.
DOID:0060868	leukoencephalopathy with vanishing white matter	A leukodystrophy characterized by variable neurologic features resulting from deficiency in astrocyte maturation, including progressive cerebellar ataxia, spasticity, and cognitive impairment associated with white matter lesions on brain imaging with onset from early infancy to adulthood that has material_basis_in homozygous or compound heterozygous mutation in any of the 5 genes encoding subunits of the translation initiation factor EIF2B: EIF2B1 on chromosome 12q24, EIF2B2 on chromosome 14q24, EIF2B3 on chromosome 1p34, EIF2B4 on chromosome 2p23, or EIF2B5 on chromosome 3q27.
DOID:0060869	late-onset retinal degenration	A retinal degeneration characterized by autosomal dominant inheritance of night blindness and drusen deposits, progressing to severe central and peripheral degeneration, with choroidal neovascularization and chorioretinal atrophy with onset in the fifth to sixth decade of life that has material_basis_in heterozygous mutation in the C1QTNF5 gene on chromosome 11q23.
DOID:0060870	isolated growth hormone deficiency	A hypopituitarism characterized by abnormally low levels, absence or impaired function of growth hormone in the absence of abnormalities in other pituitary hormones.
DOID:0060871	autosomal dominant keratitis-ichthyosis-deafness syndrome	An autosomal dominant disease characterized by congenital deafness, keratopachydermia and constrictions of fingers and toes that has material_basis_in heterozygous mutation in the GJB2 gene on chromosome 13q.
DOID:0060872	isolated growth hormone deficiency type II	An isolated growth hormone deficiency characterized by autosomal dominant inheritance of low but detectable levels of GH1 resulting in variable degrees of dwarfism which are responsive to growth hormone therapy that has material_basis_in dominant negative mutations in the GH1 gene on chromosome 17q23.3.
DOID:0060873	isolated growth hormone deficiency type IA	An isolated growth hormone deficiency characterized by autosomal recessive inheritance of severe dwarfism with onset by 6 months of age and variable development of antibodies to growth hormone following exogenous supplementation that has material_basis_in null mutations in the GH1 gene on chromosome 17q23.3.
DOID:0060874	isolated growth hormone deficiency type IB	An isolated growth hormone deficiency characterized by autosomal recessive inheritance of low but detectable levels of GH, short stature, significantly retarded bone age, and a positive response and immunologic tolerance to growth hormone therapy that has material_basis_in mutation in the GH1 or GHRHR genes on chromosomes 17q23.3 and 7p14.3, respectively.
DOID:0060875	isolated growth hormone deficiency type III	An isolated growth hormone deficiency characterized by dwarfism, variable occurence of hypogammaglobulinemia, and a generally good response to growth hormone therapy that has material_basis_in mutation in the BTK gene on chromosome Xq22.1.
DOID:0060877	ichthyosis bullosa of Siemens	An ichthyosis characterized by autosomal dominant inheritance of congenital erythema and widespread skin blistering, blisters develop into gray hyperkeratoses with a lichenified appearance  that has material_basis_in heterozygous mutation in the KRT2 gene on chromosome 12q13.
DOID:0060878	hypoparathyroidism-deafness-renal disease syndrome	A characterized by autosomal dominant inheritance of hypoparathyroidism, sensorineural deafness and progressive renal failure that has material_basis_in chromosome deletion that results in haploinsufficiency of the GATA3 gene on chromosome 10p14.
DOID:0060879	primary hypomagnesemia	A metal metabolism disorder characterized by very low serum magnesium levels often with secondary hypocalcemia with onset typically in the first months of life.
DOID:0060880	renal hypomagnesemia 3	A hypomagnesemia characterized by autosomal recessive inheritance of excessive urinary Ca(2+) and Mg(2+) excretion that has material_basis_in homozygous or compound heterozygous mutation in the CLDN16 gene on chromosome 3q28.
DOID:0060881	renal hypomagnesemia 5 with ocular involvement	A hypomagnesemia characterized by autosomal recessive inheritance of renal magnesium wasting with hypercalcinosis, progressive renal failure and severe ocular involvement that has material_basis_in homozygous mutation in the CLDN19 gene on chromosome 1p34.2.
DOID:0060882	renal hypomagnesemia 4	A hypomagnesemia characterized by isolated hypomagnesemia due to renal loss with normal serum calcium levels and urinary calcium excretion that has material_basis_in variation in the chromosome region 4q25.
DOID:0060883	intestinal hypomagnesemia 1	A hypomagnesemia characterized by very low serum magnesium levels due to defects in intestinal absorbtion and kidney excretion and secondary hypocalcemia that has material_basis_in homozygous or compound heterozygous mutations in the TRPM6 gene on chromosome 9q21.
DOID:0060884	renal hypomagnesemia 6	A hypomagnesemia characterized by autosomal dominant inheritance of severely lowered serum magnesium levels without other electrolyte disturbances or abnormalities in urinary magnesium excretion that has material_basis_in heterozygous mutation in the CNNM2 gene on chromosome 10q24.
DOID:0060885	renal hypomagnesemia 2	A hypomagnesemia characterized by autosomal dominant inheritance of hypomagnesemia due to renal magnesium loss that has material_basis_in heterozygous mutation in the FXYD2 gene on chromosome 11q23.
DOID:0060886	osteopathia striata with cranial sclerosis	An osteosclerosis characterized by longitudinal striations of the metaphyses of the long bones, sclerosis of the craniofacial bones, macrocephaly, cleft palate and hearing loss in females and fetal or neonatal lethality in males that has material_basis_in mutation in the AMER1 gene on chromosome Xq11.
DOID:0060887	ossification of the posterior longitudinal ligament of spine	A connective tissue disease characterized by ectopic ossification of the posterior longitudinal spinal ligament resulting in spinal cord compression, myelopathy and hyperreflexia.
DOID:0060888	transient myeloproliferative syndrome	A myeloproliferative neoplasm characterized by leukocytosis in newborns with Down syndrome and rarely in non-Down's infants.
DOID:0060889	prune belly syndome	A syndrome that has_material_basis in homozygous mutation in the CHRM3 gene on chromosome 1q43. It is characterized by megacystis (massively enlarged bladder) with disorganized detrusor muscle, cryptorchidism, and thin abdominal musculature with overlying lax skin.
DOID:0060890	ectopic Cushing syndrome	A Cushing syndrome in which a tumor outside the pituitary gland produces a hormone called adrenocorticotropic hormone (ACTH).
DOID:0060891	juvenile onset Parkinson disease 19A	A Parkinson's disease that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DOID:0060892	late onset Parkinson disease	
DOID:0060893	juvenile-onset Parkinson disease	
DOID:0060894	early-onset Parkinson disease	
DOID:0060895	autosomal dominant Parkinson disease 4	A late onset Parkinson disease that has_material_basis_in heterozygous triplication of the alpha-synuclein gene (SNCA) on chromosome 4q22.
DOID:0060896	autosomal recessive early-onset Parksinson disease 23	An early-onset Parkinson disease that has_material_basis_in homozygous or compound heterozygous mutation in the VPS13C gene on chromosome 15q22.
DOID:0060897	Parkinson disease 17	A late-onset Parkinson disease that has_material_basis_in heterozygous mutation in the VPS35 gene on chromosome 16q13.
DOID:0060898	early-onset Parkinson disease 20	An early-onset Parkinson disease that has_material_basis_in homozygous mutation in the SYNJ1 gene on chromosome 21q22.
DOID:0060900	autosomal recessive Parkinson disease 14	A late-onset Parkinson disease that has_material_basis_in homozygous mutation in the PLA2G6 gene on chromosome 22q13.
DOID:0060901	Waldenstroem's macroglobulinemia	A lymphoplasmacytic lymphoma characterized by the accumulation of monoclonal cells in the bone marrow and peripheral lymphoid tissues, and associated with the production of serum immunoglobulin M (IgM) monoclonal protein.
DOID:0060902	Norman-Roberts syndrome	A lissencephaly that has_material_basis_in homozygous mutation in the gene encoding reelin (RELN) on chromosome 7q22.
DOID:0060903	thrombosis	A vascular disease caused by the formation of a blood clot inside a blood vessel, obstructing the flow of blood through the circulatory system.
DOID:0060911	karyomegalic interstitial nephritis	An interstitial nephritis characterized by nephritis, interstitial fibrosis, and enlarged and atypical tubular epithelial cell nuclei that has_material_basis_in homozygous or compound heterozygous mutation in the FAN1 gene on chromosome 15q13.3.
DOID:0070003	blastoma	A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from precursor cells called blast cells.
DOID:0070004	myeloid neoplasm	A bone marrow cancer that is formed of any one of the bone marrow cells \nbelonging to the granulocytic (neutrophil, eosinophil, basophil), monocytic/macrophage, erythroid, megakaryocytic and mast cell lineages. 
DOID:0080000	muscular disease	A musculoskeletal system disease that affects the muscles.
DOID:0080001	bone disease	A connective tissue disease that affects the structure or development of bone or causes an impairment of normal bone function.
DOID:0080005	bone remodeling disease	A bone disease that results_in formation or resorption abnormalities located_in bone.
DOID:0080006	bone development disease	A bone disease that results_in abnormal growth and development located_in bone or located_in cartilage.
DOID:0080007	bone deterioration disease	A bone structure disease that results_in change or damage of structure located_in bone.
DOID:0080008	ischemic bone disease	A bone disease that results_in an interruption of blood supply located_in bone.
DOID:0080010	bone structure disease	A bone disease that has_material_basis_in an abnormality in the location or function of the skeletal structure.
DOID:0080011	bone resorption disease	A bone remodeling disease that results in an abnormal decrease of bone density or mass.
DOID:0080014	chromosomal disease	A genetic disease that has_material_basis_in extra, missing, or re-arranged chromosomes.
DOID:0080015	physical disorder	A disease that has_material_basis_in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment.
DOID:0080016	spina bifida	
DOID:0080018	dysbaric osteonecrosis	An ischemic bone disease the has_material_basis_in nitrogen embolization located_in bone.
DOID:0080019	metaphyseal dysplasia	An osteochondrodysplasia that results_in thinning and the tendency to fracture located_in bone.
DOID:0080020	Jansen's metaphyseal chondrodysplasia	A metaphyseal dysplasia that has_material_basis_in mutation in PTH receptor which results_in short-limbed dwarfism.
DOID:0080021	Schmid metaphyseal chondrodysplasia	A metaphyseal dysplasia that results_in dwarfism and bowed legs.
DOID:0080023	Shwachman-Diamond type metaphyseal dysplasia	
DOID:0080026	otospondylomegaepiphyseal dysplasia	An osteochondrodysplasia that results from mutations in the COL11A2 gene which results_in enlargement of the located_in epiphysis in located_in hand and located_in foot, distinct facial features, platyspondyly and hearing loss.
DOID:0080027	spondyloepimetaphyseal dysplasia	An osteochondrodysplasia that results_in abnormalities of bone growth located_in vertebral column, located_in epiphysis, located_in metaphysis.
DOID:0080028	spondyloepimetaphyseal dysplasia, Strudwick type	A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the COL2A1 gene which results_in short stature and multiple skeletal abnormalities (lordosis, scoliosis, flattened vertebrae, pectus carinatum, coxa vara, clubfoot, and abnormal epiphyses or metaphyses).
DOID:0080029	autosomal recessive spinocerebellar ataxia 16	
DOID:0080030	spondyloepimetaphyseal dysplasia, Missouri type	A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the MMP13 gene which results_in a pear-shaped vertebrae, abnormal metaphyseal changes, and genu varum deformities.
DOID:0080031	fibrous dysplasia	A bone remodeling disease that results_in the destruction of normal bone and replacing it with fibrous bone tissue.
DOID:0080032	craniodiaphyseal dysplasia	An osteosclerosis that results_in increased calcium concentration located_in skull which decreases the size of cranium foramina and cervical spinal canal.
DOID:0080033	craniometaphyseal dysplasia	An osteosclerosis that has_material_basis_in mutations in the ANKH gene which results_in progressive thickening located_in skull and abnormally shaped ends of long bones in the limbs.
DOID:0080036	SOST-related sclerosing bone dysplasia	A hyperostosis that has_material_basis_in a mutation in the SOST gene which results_in overgrowth of endosteal bone producing dense and wide bones throughout the body especially located_in skull.
DOID:0080037	Worth's syndrome	A hyperostosis that has_material_basis_in a mutation in the LRP5 gene which results_in increased bone density and bony structures located_in palate.
DOID:0080038	pycnodysostosis	An osteochondrodysplasia that has_material_basis_in a mutation in the CTSK gene which results_in dwarfism, brittle bones, osteopetrosis, shortening of the distal phalanges.
DOID:0080039	axial osteomalacia	An osteosclerosis that results_in coarsening located_in trabecular bone.
DOID:0080040	fibrogenesis imperfecta ossium	A syndrome that involves abnormality of collagen synthesis in lamellar bones, with manifestations limited to the skeleton. The initial symptom is frequently spontaneous fractures.
DOID:0080041	hypochondroplasia	An osteochondrodysplasia that has_material_basis_in mutation in the FGFR3 gene which affects ossification of cartilage and results_in short limb dwarfism.
DOID:0080042	autosomal recessive spinocerebellar ataxia 18	
DOID:0080043	achondrogenesis	An osteochondrodysplasia that has_material_basis_in deficient endochondral ossification which results_in dwarfism, short-trunk, short-limbed, anascara, disaprportionately large cranium, and a narrow chest which leads to death in utero or during early neonatal period.
DOID:0080044	hypochondrogenesis	An osteochondrodysplasia that has_material_basis_in a mutation in the COL2A1 gene which affects bone growth and results_in a small body, hydrops fetalis, and abnormal ossification located_in vertebral column or located_in pelvis. The disease has_symptom enlarged abdomen.
DOID:0080045	Kniest dysplasia	An osteochondrodysplasia that has_material_basis_in a mutation in the COL2A1 gene which results_in dwarfism with a short trunk and limbs as well as vision and hearing problems. The disease has_symptom large joints, has_symptom wide set eyes, has_symptom round flat face.
DOID:0080046	Stickler syndrome	
DOID:0080047	pseudoachondroplasia	An osteochondrodysplasia that has_material_basis_in mutations in the COMP gene which results_in short limb dwarfism.
DOID:0080049	acromesomelic dysplasia	An osteochondrodysplasia that has_material_basis_in mesomelia and acromelia, which results_in short limb Dwarfism.
DOID:0080050	acromesomelic dysplasia, Maroteaux type	An acromesomelic dysplasia that has_material_basis_in mutation in NPR-B receptor which results_in severe dwarfism, abnormalities of the located_in vertebral column and shortening of middle and distal segments in the located_in limb.
DOID:0080051	acromesomelic dysplasia, Hunter-Thompson type	An acromesomelic dysplasia that has_material_basis_in mutation in AMDH gene which results_in normal axial skeleton but fused bones in the located_in hand or located_in foot.
DOID:0080052	acromesomelic dysplasia, Grebe type	An acromesomelic dysplasia that has_material_basis_in mutation in CDMP-1 which results_in micromelia, absence of middle and proximal phalanges and some metacarpal and metatarsal bones.
DOID:0080053	Albright's hereditary osteodystrophy	An osteochondrodysplasia that has_material_basis_in lack of responsiveness to parathyroid hormone which results_in shortening and widening of long bones of the located_in hand or located_in foot along with short stature, obesity, and rounded face.
DOID:0080054	achondrogenesis type IA	An achondrogenesis that results_in abnormal ossification of the located_in vertebral column or located_in spine.
DOID:0080055	achondrogenesis type IB	An achondrogenesis that has_material_basis_in mutation in the SLC26A2 gene which results_in umbilical or inguinal hernia and a prominent rounded abdomen.
DOID:0080056	achondrogenesis type II	An achondrogenesis that has_material_basis_in mutations in the COL2A1 gene which results_in underdeveloped lungs, hydrops fetalis, a prominent forehead and abnormal ossification of the located_in vertebral column or located_in pelvis.
DOID:0080057	autosomal recessive spinocerebellar ataxia 15	
DOID:0080058	autosomal recessive spinocerebellar ataxia 14	
DOID:0080059	autosomal recessive spinocerebellar ataxia 7	
DOID:0080060	autosomal recessive spinocerebellar ataxia 12	
DOID:0080061	autosomal recessive spinocerebellar ataxia 2	
DOID:0080062	autosomal recessive spinocerebellar ataxia 13	
DOID:0080063	autosomal recessive spinocerebellar ataxia 11	
DOID:0080064	autosomal recessive spinocerebellar ataxia 17	
DOID:0080065	autosomal recessive spinocerebellar ataxia 19	
DOID:0080066	autosomal recessive spinocerebellar ataxia 20	
DOID:0080067	Charcot-Marie-Tooth disease type 5	A Charcot-Marie-Tooth disease that is characterized by pyramidal features including extensor plantar responses, mild increase in tone, and preserved or increased reflexes but no spastic gait.
DOID:0080068	Charcot-Marie-Tooth disease type 6	A Charcot-Marie-Tooth disease that is characterized by early-onset optic atrophy resulting in progressive visual loss and peripheral axonal sensorimotor neuropathy with highly variable age at onset and severity.
DOID:0080069	Charcot-Marie-Tooth disease type 7	A Charcot-Marie-Tooth disease that is characterized by optic atrophy followed by retinitis pigmentosa.
DOID:0080070	inclusion-cell disease	
DOID:0080071	pseudo-Hurler polydystrophy	
DOID:0080072	neuronal intestinal dysplasia	
DOID:0080073	spina bifida occulta	
DOID:0080074	neural tube defect	
DOID:0080075	Neu-Laxova syndrome 2	
DOID:0080076	Neu-Laxova syndrome 1	
DOID:0080077	hypophosphatemic nephrolithiasis/osteoporosis 1	
DOID:0080078	hypophosphatemic nephrolithiasis/osteoporosis 2	
DOID:0080079	nonsyndromic congenital nail disorder 1	
DOID:0080080	nonsyndromic congenital nail disorder 2	
DOID:0080081	nonsyndromic congenital nail disorder 3	
DOID:0080082	nonsyndromic congenital nail disorder 4	
DOID:0080083	nonsyndromic congenital nail disorder 5	
DOID:0080084	nonsyndromic congenital nail disorder 6	
DOID:0080085	nonsyndromic congenital nail disorder 7	
DOID:0080086	nonsyndromic congenital nail disorder 8	
DOID:0080087	nonsyndromic congenital nail disorder 9	
DOID:0080088	nonsyndromic congenital nail disorder 10	
DOID:0080089	tubular aggregate myopathy	
DOID:0080090	reducing body myopathy	
DOID:0080091	spheroid body myopathy	
DOID:0080092	myofibrillar myopathy 1	
DOID:0080093	myofibrillar myopathy 2	
DOID:0080094	myofibrillar myopathy 3	
DOID:0080095	myofibrillar myopathy 4	
DOID:0080096	myofibrillar myopathy 5	
DOID:0080097	myofibrillar myopathy 6	
DOID:0080098	myofibrillar myopathy 7	
DOID:0080099	myopathy, lactic acidosis, and sideroblastic anemia	
DOID:0080100	congenital myopathy	
DOID:0080101	Compton-North congenital myopathy	
DOID:0080102	congenital fiber-type disproportion	
DOID:0080103	cylindrical spirals myopathy	
DOID:0080105	microcephaly and chorioretinopathy 1	A syndrome that is characterized by delayed psychomotor development and visual impairment, often accompanied by short stature and has_material_basis_in homozygous or compound heterozygous mutation in the TUBGCP6 gene.
DOID:0080106	microcephaly and chorioretinopathy 2	A syndrome that is characterized by delayed psychomotor development, visual impairment, and short stature and has_material_basis_in homozygous mutation in the PLK4 gene.
DOID:0080107	microcephaly and chorioretinopathy 3	A syndrome that is characterized by congenital microcephaly and chorioretinal dysplasia associated with poor vision and nystagmus and has_material_basis_in compound heterozygous mutation in the TUBGCP4 gene.
DOID:0080108	myoglobinuria	A myopathy that is characterized by an increased urinary excretion of myoglobin.
DOID:0080109	infantile myofibromatosis	A connective tissue benign neoplasm that is characterized by the development of benign tumors in the skin, striated muscles, bones, and in exceptional cases, visceral organs.
DOID:0080110	multiple pterygium syndrome	A genetic disease that is characterized by permanently bent fingers (camptodactyly), short stature, rocker-bottom or club feet, joints that are bent in a fixed position (contractures), union or webbing of the skin between the fingers (syndactyly), and/or webbing of the neck, inside bend of the elbows, back of the knees and armpits.
DOID:0080111	mitochondrial complex III deficiency nuclear type 1	
DOID:0080112	mitochondrial complex III deficiency nuclear type 3	
DOID:0080113	mitochondrial complex III deficiency nuclear type 4	
DOID:0080114	mitochondrial complex III deficiency nuclear type 5	
DOID:0080115	mitochondrial complex III deficiency nuclear type 6	
DOID:0080116	mitochondrial complex III deficiency nuclear type 7	
DOID:0080117	mitochondrial complex III deficiency nuclear type 8	
DOID:0080118	mitochondrial complex III deficiency nuclear type 9	
DOID:0080119	mitochondrial DNA depletion syndrome 1	
DOID:0080120	mitochondrial DNA depletion syndrome 2	
DOID:0080121	mitochondrial DNA depletion syndrome 3	
DOID:0080122	mitochondrial DNA depletion syndrome 4a	
DOID:0080123	mitochondrial DNA depletion syndrome 4b	
DOID:0080124	mitochondrial DNA depletion syndrome 5	
DOID:0080125	mitochondrial DNA depletion syndrome 6	
DOID:0080126	mitochondrial DNA depletion syndrome 7	
DOID:0080127	mitochondrial DNA depletion syndrome 8a	
DOID:0080128	mitochondrial DNA depletion syndrome 9	
DOID:0080129	mitochondrial DNA depletion syndrome 11	
DOID:0080130	mitochondrial DNA depletion syndrome 12	
DOID:0080131	mitochondrial DNA depletion syndrome 13	
DOID:0080132	Sengers syndrome	
DOID:0080133	multiple mitochondrial dysfunctions syndrome 1	
DOID:0080134	multiple mitochondrial dysfunctions syndrome 2	
DOID:0080135	multiple mitochondrial dysfunctions syndrome 3	
DOID:0080136	multiple mitochondrial dysfunctions syndrome 4	
DOID:0080137	multiple endocrine neoplasia type 4	
DOID:0080138	multiple congenital anomalies-hypotonia-seizures syndrome 1	
DOID:0080139	multiple congenital anomalies-hypotonia-seizures syndrome 2	
DOID:0080140	multiple congenital anomalies-hypotonia-seizures syndrome 3	
DOID:0080141	mosaic variegated aneuploidy syndrome 1	
DOID:0080142	mosaic variegated aneuploidy syndrome 2	
DOID:0080143	congenital fibrosis of the extraocular muscles	An ocular motility disease that is characterized by the inability to move the eyes in certain directions, droopy eyelids and eyes that are fixed in an abnormal position.
DOID:0080144	childhood acute lymphocytic leukemia	An acute lymphocytic leukemia occuring during childhood.
DOID:0080145	T-cell childhood acute lymphocytic leukemia	A childhood acute lymphoblastic leukemia that has_material_basis in T-cells.
DOID:0080146	B-cell childhood acute lymphoblastic leukemia	A childhood acute lymphoblastic leukemia that has_material_basis in B-cells.
DOID:0080147	lymphoblastic lymphoma	A lymphoma that has_material_basis_in immature malignant lymphocytes (lymphoblasts) committed to the B-cell or T-cell lineage and located_in primarily lymph nodes or located_in extranodal sites.
DOID:0080148	T-cell childhood lymphoblastic lymphoma	A lymphoblastic lymphoma that has_material_basis_in T-cells and that occurs during childhood.
DOID:0080149	adult acute monocytic leukemia	An acute monocytic leukemia occurring in adults.
DOID:0080150	adrenocorticotropic hormone deficiency	A hypopituitarrium that is characterized by a decreased or absent production of adrenocorticotropic hormone by the pituitary gland.
DOID:0080153	medium chain acyl-CoA dehydrogenase deficiency	A lipid metabolism disorder that is characterized by a deficiency of the enzyme medium chain acyl-CoA dehydrogenase that results in the inability to convert medium chain fatty acids to energy, particularly during fasting.
DOID:0080154	short chain acyl-CoA dehydrogenase deficiency	A lipid metabolism disorder that is characterized by deficiency of the enzyme short chain acyl-CoA dehydrogenase that results in the inability to convert short chain fatty acids.
DOID:0080155	very long chain acyl-CoA dehydrogenase deficiency	A lipid metabolism disorder that is characterized by deficiency of the enzyme very long chain acyl-CoA dehydrogenase that results in the inability to convert very long chain fatty acids.
DOID:0080156	X-linked adrenal hypoplasia congenita	An adrenal cortical hypofunction that is characterized by a reduction in adrenal gland function resulting from incomplete development of the adrenal cortex and has_material_basis_in the nuclear receptor NR0B1 (DAX1) gene.
DOID:0080158	herpes simplex virus keratitis	A keratitis that has_material_basis_in herpes simplex type infection.
DOID:0080159	Cryptococcal meningitis	A fungal meningitis that has_material_basis in Crypococcus fungal infection.
DOID:0080160	Cytomegalovirus retinitis	A retinitis that has_material_basis_in Cytomegalovirus.
DOID:0080161	cutaneous candidiasis	A candidiasis that is characterized by Candida infection located_in the skin.
DOID:0080162	lupus nephritis	A glomerulonephritis that is characterized by inflammation of the kidneys resulting from systemic lupus erythematosus.
DOID:0080163	otulipenia	An immune system disease that is characterized by neonatal onset of recurrent fever, erythematous rash with painful nodules, painful joints, and lipodystrophy and has_material_basis_in autosomal recessive inheritance of homozygous loss-of-function mutations in the OTULIN gene encoding a deubiquitinase with linear linkage specificity on chromosome 5p15.
DOID:0080164	myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1	A myeloid neoplasm that is characterized by the formation of abnormal fusion genes that encode constitutively activated tyrosine kinases.
DOID:0080165	myeloid and lymphoid neoplasms associated with PDGFRA rearrangement	A myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1 that is characterized by the rearrangement of the PDGFRA gene, most often resulting in the formation of FIP1L1-PDGFRA fusion transcripts.
DOID:0080166	myeloid neoplasms associated with PDGFRB rearrangement	A myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1 that is characterized by the rearrangement of the PDGFRB gene, most often resulting in the formation of ETV6-PDGFRB fusion transcripts.
DOID:0080167	myeloid and lymphoid neoplasms associated with FGFR1 abnormalities	A myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1 that is characterized by the rearrangement of the FGFR1 gene, resulting in translocations with an 8p11 breakpoint.
DOID:0080169	tricuspid atresia	A tricuspid valve disease characterized by a missing or abnormally developed tricuspid heart value at birth. 
DOID:0080170	normophosphatemic familial tumoral calcinosis	A calcinosis that is characterized by massive periarticular, and seldom visceral, deposition of calcified tumors.
DOID:0080171	esophageal atresia/tracheoesophageal fistula	A gastrointestinal system disease that is characterized by abnormal development of the esophagus and trachea where the upper esophagus does not connect (atresia) to the lower esophagus and stomach and may also include tracheoesophageal fistula where the esophagus and the trachea are abnormally connected which allows fluids from the esophagus to get into the airways and interfere with breathing.
DOID:0080172	thiopurine S-methyltransferase deficiency	An inherited metabolic disease that is characterized by significantly reduced activity of an enzyme that helps the body process drugs called thiopurines.
DOID:0080173	bladder exstrophy-epispadias-cloacal exstrophy complex	A physical disorder that is characterized as a spectrum of anomalies involving the urinary tract, genital tract, musculoskeletal system and sometimes the intestinal tract.
DOID:0080174	bladder exstrophy	A bladder exstrophy-epispadias-cloacal exstrophy complex that is characterized by an evaginated bladder plate, epispadias and an anterior defect of the pelvis, pelvic floor and abdominal wall. The rear portion of the bladder wall (posterior vesical wall) turns outward (exstrophy) through an opening in the abdominal wall and urine is excreted through this opening.
DOID:0080175	cloacal exstrophy	A bladder exstrophy-epispadias-cloacal exstrophy complex that is characterized by a defect in the urethra, bladder and bowel.
DOID:0080176	meningococcal meningitis	A bacterial meningitis that has_material_basis_in Neisseria meningitidis infection.
DOID:0080177	hepatic veno-occlusive disease	A hepatic vascular disease that is characterized by obstruction of some of the small veins of the liver.
DOID:0080178	mucositis	A gastrointestinal system disease that is characterized by painful inflammation and ulceration of the mucous membranes lining the digestive tract.
DOID:0080179	haemophilus meningitis	A bacterial meningitis that has_material_basis_in Haemophilus influenzae infection.
